m1,p
http://dbpedia.org/resource/Sanket_Trust,http://dbpedia.org/resource/Girish_Karnad
http://dbpedia.org/resource/Seva_Dal,http://dbpedia.org/resource/Jagdish_Tytler
http://dbpedia.org/resource/St._Louis_Car_Company,http://dbpedia.org/resource/John_I._Beggs
http://dbpedia.org/resource/Jack_Wolfskin,http://dbpedia.org/resource/Melody_Harris-Jensbach
http://dbpedia.org/resource/Fenway_Sports_Group,http://dbpedia.org/resource/Michael_Gordon_(businessman)
http://dbpedia.org/resource/New_Silk_Route,http://dbpedia.org/resource/Parag_Saxena
http://dbpedia.org/resource/Industrial_Tomography_Systems,http://dbpedia.org/resource/Richard_Williams_(academic)
http://dbpedia.org/resource/Yaquinto_Publications,http://dbpedia.org/resource/S._Craig_Taylor
http://dbpedia.org/resource/Bristol_Commercial_Vehicles,http://dbpedia.org/resource/Sir_George_White,_1st_Baronet
http://dbpedia.org/resource/Lone_Pine_Capital,http://dbpedia.org/resource/Stephen_Mandel_(hedge_fund_manager)
http://dbpedia.org/resource/Spelling_Television,http://dbpedia.org/resource/Aaron_Spelling
http://dbpedia.org/resource/Brown_Academy_of_Music,http://dbpedia.org/resource/Adam_Brown_(music_educator)
http://dbpedia.org/resource/Epic_Comics,http://dbpedia.org/resource/Al_Milgrom
http://dbpedia.org/resource/MGM-Pathé_Communications,http://dbpedia.org/resource/Alan_Ladd,_Jr.
http://dbpedia.org/resource/Binglin_Stable,http://dbpedia.org/resource/Albert_Johnson_(jockey)
http://dbpedia.org/resource/Bank_of_New_York,http://dbpedia.org/resource/Alexander_McDougall
http://dbpedia.org/resource/Pier_1_Imports,http://dbpedia.org/resource/Alexander_Smith_(businessman)
http://dbpedia.org/resource/Camelot_Group,http://dbpedia.org/resource/Andy_Duncan_(executive)
http://dbpedia.org/resource/Godrej_Group,http://dbpedia.org/resource/Ardeshir_Godrej
http://dbpedia.org/resource/Marconi_Electronic_Systems,http://dbpedia.org/resource/Arnold_Weinstock
http://dbpedia.org/resource/Yarrow_Shipbuilders,http://dbpedia.org/resource/Arnold_Weinstock
http://dbpedia.org/resource/General_Electric_Company_plc,http://dbpedia.org/resource/Arnold_Weinstock
http://dbpedia.org/resource/Apple_Inc.,http://dbpedia.org/resource/Arthur_D._Levinson
http://dbpedia.org/resource/Calico_(company),http://dbpedia.org/resource/Arthur_D._Levinson
http://dbpedia.org/resource/The_New_York_Times_Company,http://dbpedia.org/resource/Arthur_Ochs_Sulzberger,_Jr.
http://dbpedia.org/resource/Mind_and_Life_Institute,http://dbpedia.org/resource/Arthur_Zajonc
http://dbpedia.org/resource/Stroymontazh,http://dbpedia.org/resource/Artur_Kirilenko
http://dbpedia.org/resource/International_Festival_of_Authors,http://dbpedia.org/resource/Avie_Bennett
http://dbpedia.org/resource/NeXT,http://dbpedia.org/resource/Avie_Tevanian
http://dbpedia.org/resource/Electus,http://dbpedia.org/resource/Ben_Silverman
http://dbpedia.org/resource/ORCO,http://dbpedia.org/resource/Bernard_Gauthier
http://dbpedia.org/resource/United_Press_of_India,http://dbpedia.org/resource/Bidhan_Chandra_Roy
http://dbpedia.org/resource/Legend_Entertainment,http://dbpedia.org/resource/Bob_Bates
http://dbpedia.org/resource/Techstars,http://dbpedia.org/resource/Brad_Feld
http://dbpedia.org/resource/Siva_Power,http://dbpedia.org/resource/Brad_Mattson
http://dbpedia.org/resource/Williams_Holdings,http://dbpedia.org/resource/Brian_McGowan_(businessman)
http://dbpedia.org/resource/American_Financial_Group,http://dbpedia.org/resource/Carl_Lindner,_Jr.
http://dbpedia.org/resource/Fostoria_Glass_Company,http://dbpedia.org/resource/Charles_Foster_(Ohio_politician)
http://dbpedia.org/resource/Materials_Processing_Institute,http://dbpedia.org/resource/Chris_McDonald_(MPI)
http://dbpedia.org/resource/Zaihang,http://dbpedia.org/resource/Consultant
http://dbpedia.org/resource/Mathmos,http://dbpedia.org/resource/Cressida_Granger
http://dbpedia.org/resource/Sopogy,http://dbpedia.org/resource/Darren_Kimura
http://dbpedia.org/resource/LiveAction,http://dbpedia.org/resource/Darren_Kimura
http://dbpedia.org/resource/826NYC,http://dbpedia.org/resource/Dave_Eggers
http://dbpedia.org/resource/Kwalee,http://dbpedia.org/resource/David_Darling_(entrepreneur)
